date,^GSPC,^IXIC,^DJI,^RUT,^IRX,^FVX,^TNX,^TYX,CL=F,GC=F,SI=F,HG=F,NG=F,KRW=X,JPYKRW=X,EURKRW=X,JPY=X,EURUSD=X,DX-Y.NYB,^KS11,^KQ11,^N225,^HSI,000001.SS,^STOXX50E,^GDAXI,^FTSE,^VIX,BTC-USD,TLT,HYG
2025-08-27,6481.3999,21590.1406,45565.2305,2373.8,4.06,3.705,4.238,4.913,64.15,3404.6001,38.689,4.4145,2.867,1393.95,9.4529,1622.73,147.462,1.1639,98.23,3187.1599,801.72,42520.2695,25201.7598,3800.3501,5393.0698,24046.2109,9255.5,14.85,111222.0625,82.8564,76.3791
2025-08-28,6501.8599,21705.1602,45636.8984,2378.4099,4.072,3.696,4.207,4.874,64.6,3431.8,39.19,4.4635,2.944,1392.75,9.4535,1620.9399,147.316,1.1648,97.81,3196.3201,798.43,42828.7891,24998.8203,3843.5969,5396.73,24039.9199,9216.7998,14.43,112544.8047,83.4015,76.4168
2025-08-29,6460.2598,21455.5508,45544.8789,2366.4199,4.043,3.699,4.227,4.917,64.01,3473.7,40.2,4.5185,2.997,1384.41,9.4298,1616.1801,146.79,1.1682,97.77,3186.01,796.91,42718.4688,25077.6191,3857.927,5351.73,23902.2109,9187.2998,15.36,108410.8359,82.8086,76.2753
2025-09-02,6415.54,21279.6309,45295.8086,2352.21,4.032,3.743,4.277,4.971,65.59,3549.3999,41.071,4.5695,3.009,1392.9399,9.4705,1630.91,147.084,1.1716,98.4,3172.3501,794.0,42310.4883,25496.5508,3858.1331,5291.04,23487.3301,9116.7002,17.17,111200.5859,82.1924,76.1929
2025-09-03,6448.2598,21497.7305,45271.2305,2349.97,4.018,3.685,4.211,4.892,63.97,3593.2,41.542,4.5585,3.064,1394.5699,9.3827,1622.65,148.548,1.1636,98.14,3184.4199,796.81,41938.8906,25343.4297,3813.5569,5325.0098,23594.8008,9178.0,16.35,111723.2109,83.0947,76.4014
2025-09-04,6502.0801,21707.6895,45621.2891,2379.6101,3.998,3.653,4.176,4.874,63.48,3565.8,40.911,4.488,3.074,1389.63,9.3899,1620.11,147.98,1.166,98.35,3200.8301,805.42,42580.2695,25058.5098,3765.876,5346.71,23770.3301,9216.9004,15.3,110723.6016,83.7282,76.6099
2025-09-05,6481.5,21700.3906,45400.8594,2391.05,3.91,3.583,4.086,4.775,61.87,3613.2,41.074,4.4825,3.048,1392.0601,9.3823,1621.3199,148.375,1.1657,97.77,3205.1201,811.4,43018.75,25417.9805,3812.5139,5318.1499,23596.9805,9208.2002,15.18,110650.9844,85.0048,76.6478
2025-09-08,6495.1499,21798.6992,45514.9492,2394.8899,3.928,3.57,4.046,4.689,62.26,3638.1001,41.426,4.4905,3.09,1385.51,9.3392,1623.6899,148.344,1.1713,97.45,3219.5901,818.6,43643.8086,25633.9102,3826.8411,5362.8101,23807.1309,9221.4004,15.11,112071.4297,86.1374,76.6478
2025-09-09,6512.6099,21879.4902,45711.3398,2381.8201,3.943,3.601,4.074,4.718,62.63,3643.3,40.878,4.501,3.117,1385.72,9.4038,1630.71,147.364,1.1769,97.79,3260.05,824.82,43459.2891,25938.1309,3807.292,5368.8198,23718.4492,9242.5,15.04,111530.5469,85.6479,76.5625
2025-09-10,6532.04,21886.0605,45490.9219,2378.01,3.93,3.582,4.032,4.678,63.67,3643.6001,41.133,4.55,3.029,1387.25,9.4111,1623.5699,147.392,1.1703,97.78,3314.53,833.0,43837.6719,26200.2598,3812.2209,5361.4702,23632.9492,9225.4004,15.35,113955.3594,86.1374,76.6194
